D-U-N-S Number,Business Name,Location Type,Web Address,Telephone Number,Year Started,Currency Code,Status Code,Population Code,Last Update Date,National Identification Number,Primary Local Activity Code,Street Address,Street Address 2,City Name,State Province Abbreviation,State Province Name,Postal Code,County Name,Country/Region Code,Country/Region Name,Global Ultimate D-U-N-S Number,Global Ultimate Business Name,Parent D-U-N-S Number,Major Industry Category,Major Industry Category Name,Related Industries,Line of Business,Client,File Name
927477331,"William Morris Endeavor Entertainment, LLC",Branch,http://www.wmeagency.com,6159633000,0,,2,9,19971003,,,1201 Demonbreun St FL 15,,Nashville,TN,Tennessee,372033140,Davidson,US,USA,117081770,"Endeavor Group Holdings, Inc.",,9,Services,Theaters,Theatrical producers/services,SUB,SUB SUB_DNB_SUPPLIER_LIST_full_2023-09-28_19-05-15.csv
137673179,"International Association of Information Technology Asset Managers, Inc.",HQ,http://www.iaitam.org,3306283012,2002,20,1,8,20160404,,,4848 Munson St NW,,Canton,OH,Ohio,447183631,Stark,US,USA,137673179,"International Association of Information Technology Asset Managers, Inc.",,9,Services,Consumer Electronics & Computers;Education,Computer related services,SUB,SUB SUB_DNB_SUPPLIER_LIST_full_2023-09-28_19-05-15.csv
120835500,Petras LLC,Single Location,,,2022,20,0,7,20221024,,,615 S Pleasant View Dr,,Mustang,OK,Oklahoma,730641121,Canadian,US,USA,120835500,Petras LLC,,,Public Administration,Other,Nonclassified establishment,AAR,AAR Supplier to D&amp;amp;B 2023 ytd_full_2023-09-28_19-05-09.csv
113036002,T & S Design LLC,Single Location,,,2019,20,0,9,20221112,,,1955 Greymont St,,Philadelphia,PA,Pennsylvania,191163939,Philadelphia,US,USA,113036002,T & S Design LLC,,9,Services,Business Services,Business services,GAP,GAP Suppliers-DnB_Upload_full_2023-07-18_16-47-16.csv
104955367,Vivian Storz,Single Location,,6097843238,2017,20,0,8,20210626,,,9 Coronet Ter,,Burlington,NJ,New Jersey,80164290,Burlington,US,USA,104955367,Vivian Storz,,8,"Finance, Insurance, Real Estate",Real Estate,Nonresidential building operator,SUB,SUB SUB_DNB_SUPPLIER_LIST_full_2023-09-28_19-05-15.csv
82672270,Wiggin & Dana LLP,HQ,http://www.wiggin.com,2034984400,1934,20,1,9,20210628,,,265 Church St FL 14,,New Haven,CT,Connecticut,65107001,New Haven,US,USA,82672270,Wiggin & Dana LLP,,9,Services,Law Firms & Legal Services,Legal services office,SUB,SUB SUB_DNB_SUPPLIER_LIST_full_2023-09-28_19-05-15.csv
47191968,"Reinhart Foodservice, L.L.C.",Branch,http://www.performancefoodservice.com,6087939300,0,,2,7,20200421,,,100 Harborview Plz,,La Crosse,WI,Wisconsin,546014290,La Crosse,US,USA,79525714,Performance Food Group Company,,6,Wholesale Trade,Grocery,Whol general groceries,SUB,SUB SUB_DNB_SUPPLIER_LIST_full_2023-09-28_19-05-15.csv
36768041,Methodist Plaza Imaging Ctr,Single Location,,,1991,20,0,9,20120727,,,,,San Antonio,TX,Texas,78229,Bexar,US,USA,36768041,Methodist Plaza Imaging Ctr,,9,Services,Non-Profit & Professional Orgs.,Religious organization,AAR,AAR Supplier to D&amp;amp;B July (Lawson) and August (all)_full_2023-09-28_19-02-58.csv
34213823,"336 Bic Drive Realty II, LLC",Single Location,,,2009,20,0,9,20230204,,,325 Sub Way,,Milford,CT,Connecticut,64613081,New Haven,US,USA,34213823,"336 Bic Drive Realty II, LLC",,8,"Finance, Insurance, Real Estate",Real Estate,Real estate agent/manager,SUB,SUB SUB_DNB_SUPPLIER_LIST_full_2023-09-28_19-05-15.csv
1793082,"Cooperative For Assistance and Relief Everywhere, Inc. (care)",HQ,http://www.care.org,4046812552,1946,20,1,9,20221107,,,151 Ellis St Ne,,Atlanta,GA,Georgia,303032420,Fulton,US,USA,1793082,"Cooperative For Assistance and Relief Everywhere, Inc. (care)",,9,Services,Non-Profit & Professional Orgs.,Civic/social association,GAP,GAP gap_ap_supnormreboot_D&B_full_2023-07-18_16-47-56.csv
